Year,Jurisdiction,Average scale score,Standard Error
2013,Arkansas,150,(0.8)
2013,Connecticut,160,(1.0)
2013,Florida,149,(1.3)
2013,Idaho,156,(0.8)
2013,Illinois,154,(1.3)
2013,Iowa,156,(0.6)
2013,Massachusetts,161,(1.0)
2013,Michigan,154,(1.3)
2013,New Hampshire,161,(0.7)
2013,New Jersey,159,(1.4)
2013,South Dakota,159,(0.7)
2013,Tennessee,145,(1.1)
2013,West Virginia,145,(0.8)
2009,Arkansas,146,(0.9)
2009,Connecticut,156,(1.3)
2009,Florida,148,(1.4)
2009,Idaho,153,(1.0)
2009,Illinois,154,(1.7)
2009,Iowa,156,(0.9)
2009,Massachusetts,163,(1.4)
2009,Michigan,—,†
2009,New Hampshire,160,(0.8)
2009,New Jersey,156,(1.4)
2009,South Dakota,160,(0.7)
2009,Tennessee,—,†
2009,West Virginia,141,(0.8)
2005,Arkansas,—,†
2005,Connecticut,—,†
2005,Florida,—,†
2005,Idaho,—,†
2005,Illinois,—,†
2005,Iowa,—,†
2005,Massachusetts,—,†
2005,Michigan,—,†
2005,New Hampshire,—,†
2005,New Jersey,—,†
2005,South Dakota,—,†
2005,Tennessee,—,†
2005,West Virginia,—,†
