Year,Jurisdiction,Average scale score,Standard Error
2013,Arkansas,285,(1.0)
2013,Connecticut,299,(1.0)
2013,Florida,286,(1.2)
2013,Idaho,292,(0.9)
2013,Illinois,289,(1.2)
2013,Iowa,291,(0.9)
2013,Massachusetts,293,(1.2)
2013,Michigan,288,(1.4)
2013,New Hampshire,295,(0.8)
2013,New Jersey,292,(1.2)
2013,South Dakota,292,(0.7)
2013,Tennessee,282,(1.3)
2013,West Virginia,280,(0.8)
2009,Arkansas,280,(1.1)
2009,Connecticut,292,(1.4)
2009,Florida,283,(1.6)
2009,Idaho,290,(1.1)
2009,Illinois,292,(1.7)
2009,Iowa,291,(1.0)
2009,Massachusetts,295,(1.4)
2009,Michigan,—,†
2009,New Hampshire,293,(1.0)
2009,New Jersey,288,(1.8)
2009,South Dakota,292,(0.8)
2009,Tennessee,—,†
2009,West Virginia,279,(0.8)
2005,Arkansas,—,†
2005,Connecticut,—,†
2005,Florida,—,†
2005,Idaho,—,†
2005,Illinois,—,†
2005,Iowa,—,†
2005,Massachusetts,—,†
2005,Michigan,—,†
2005,New Hampshire,—,†
2005,New Jersey,—,†
2005,South Dakota,—,†
2005,Tennessee,—,†
2005,West Virginia,—,†
